Isabela Correia, (27) 25564-6622, isabela.correia@pucminas.br, Coracao Eucaristico
Rafael Nascimento, (55) 64206-5541, rafael.nascimento@pucminas.br, Barreiro
Clara Rocha, (78) 32320-1998, clara.rocha@pucminas.br, Betim
Manuela Carvalho, (43) 62802-6979, manuela.carvalho@pucminas.br, Coracao Eucaristico
Isabela Mendes, (91) 10203-8715, isabela.mendes@pucminas.br, Praca da Liberdade
Isabela Freitas, (94) 65416-8205, isabela.freitas@pucminas.br, Pocos de Caldas
Matheus Mendes, (86) 22476-2845, matheus.mendes@pucminas.br, Sao Gabriel
Matheus Costa, (68) 77440-5563, matheus.costa@pucminas.br, Barreiro
Pedro Rocha, (40) 21368-7453, pedro.rocha@pucminas.br, Praca da Liberdade
Isabela Barbosa, (71) 51770-2940, isabela.barbosa@pucminas.br, Barreiro
Clara Carvalho, (88) 33273-9680, clara.carvalho@pucminas.br, Praca da Liberdade
Larissa Pereira, (53) 70009-5121, larissa.pereira@pucminas.br, Coracao Eucaristico
Fernanda Carvalho, (82) 59514-4403, fernanda.carvalho@pucminas.br, Pocos de Caldas
Rafael Dias, (35) 30121-7708, rafael.dias@pucminas.br, Praca da Liberdade
Lucas Santos, (25) 36263-3969, lucas.santos@pucminas.br, Betim
Clara Farias, (35) 15893-4375, clara.farias@pucminas.br, Sao Gabriel
Rafael Ribeiro, (70) 59355-1965, rafael.ribeiro@pucminas.br, Barreiro
Matheus Nascimento, (51) 18321-1889, matheus.nascimento@pucminas.br, Sao Gabriel
Gustavo Almeida, (37) 18045-2961, gustavo.almeida@pucminas.br, Coracao Eucaristico
Vinicius Pereira, (43) 13681-7687, vinicius.pereira@pucminas.br, Pocos de Caldas
Leticia Souza, (58) 75671-9543, leticia.souza@pucminas.br, Praca da Liberdade
Samuel Pereira, (71) 59184-2326, samuel.pereira@pucminas.br, Sao Gabriel
Daniel Cunha, (79) 63152-4397, daniel.cunha@pucminas.br, Coracao Eucaristico
Fernanda Gomes, (23) 50163-7279, fernanda.gomes@pucminas.br, Coracao Eucaristico
Felipe Alves, (51) 77616-6025, felipe.alves@pucminas.br, Praca da Liberdade
Camila Pereira, (25) 60676-9568, camila.pereira@pucminas.br, Contagem
Camila Pinto, (34) 45880-5796, camila.pinto@pucminas.br, Barreiro
Beatriz Gomes, (76) 95326-2483, beatriz.gomes@pucminas.br, Coracao Eucaristico
Camila Teixeira, (13) 71144-1768, camila.teixeira@pucminas.br, Praca da Liberdade
Vinicius Almeida, (74) 49645-1651, vinicius.almeida@pucminas.br, Betim
Matheus Ribeiro, (81) 30966-9680, matheus.ribeiro@pucminas.br, Pocos de Caldas
Beatriz Silva, (24) 48304-3021, beatriz.silva@pucminas.br, Contagem
Beatriz Carvalho, (11) 10841-3749, beatriz.carvalho@pucminas.br, Praca da Liberdade
Camila Ribeiro, (92) 60192-6473, camila.ribeiro@pucminas.br, Pocos de Caldas
Rafael Moreira, (91) 88986-9453, rafael.moreira@pucminas.br, Contagem
Luiza Ribeiro, (90) 58339-3257, luiza.ribeiro@pucminas.br, Sao Gabriel
Mariana Gomes, (69) 45694-6182, mariana.gomes@pucminas.br, Barreiro
Lucas Lima, (90) 43848-2251, lucas.lima@pucminas.br, Sao Gabriel
Joana Gomes, (75) 59035-7688, joana.gomes@pucminas.br, Praca da Liberdade
Isabela Araujo, (11) 79031-4315, isabela.araujo@pucminas.br, Praca da Liberdade
Mariana Cunha, (23) 28238-2536, mariana.cunha@pucminas.br, Contagem
Luiza Silva, (35) 69036-5841, luiza.silva@pucminas.br, Pocos de Caldas
Leticia Lima, (56) 86238-2698, leticia.lima@pucminas.br, Sao Gabriel
Mariana Lima, (88) 10872-1410, mariana.lima@pucminas.br, Praca da Liberdade
Julia Barbosa, (49) 48680-7663, julia.barbosa@pucminas.br, Contagem
Thiago Alves, (19) 81628-4842, thiago.alves@pucminas.br, Betim
Ricardo Almeida, (51) 42670-6492, ricardo.almeida@pucminas.br, Sao Gabriel
Felipe Costa, (87) 47339-1853, felipe.costa@pucminas.br, Contagem
Ana Correia, (99) 17622-6620, ana.correia@pucminas.br, Barreiro
Daniel Almeida, (35) 39363-5799, daniel.almeida@pucminas.br, Barreiro
Vinicius Ribeiro, (52) 70707-9252, vinicius.ribeiro@pucminas.br, Pocos de Caldas
Felipe Moreira, (32) 98735-1537, felipe.moreira@pucminas.br, Barreiro
Leticia Freitas, (92) 85980-4493, leticia.freitas@pucminas.br, Sao Gabriel
Clara Almeida, (42) 19205-5339, clara.almeida@pucminas.br, Coracao Eucaristico
Manuela Mendes, (59) 54959-1751, manuela.mendes@pucminas.br, Betim
Ana Cunha, (43) 71375-5834, ana.cunha@pucminas.br, Betim
Thiago Farias, (61) 96664-8985, thiago.farias@pucminas.br, Betim
Camila Barbosa, (17) 64688-2270, camila.barbosa@pucminas.br, Betim
Gabriel Cardoso, (29) 37307-6646, gabriel.cardoso@pucminas.br, Pocos de Caldas
Samuel Teixeira, (99) 43614-3134, samuel.teixeira@pucminas.br, Contagem
Diego Almeida, (26) 53474-5778, diego.almeida@pucminas.br, Betim
Sofia Gomes, (38) 65030-6050, sofia.gomes@pucminas.br, Contagem
Luiza Reis, (58) 35224-5576, luiza.reis@pucminas.br, Pocos de Caldas
Mariana Costa, (72) 38238-7270, mariana.costa@pucminas.br, Praca da Liberdade
Larissa Oliveira, (94) 39959-8887, larissa.oliveira@pucminas.br, Praca da Liberdade
Manuela Costa, (86) 82547-6900, manuela.costa@pucminas.br, Betim
Ricardo Dias, (97) 61898-1632, ricardo.dias@pucminas.br, Praca da Liberdade
Camila Mendes, (36) 48832-5187, camila.mendes@pucminas.br, Contagem
Thiago Cardoso, (12) 17335-3364, thiago.cardoso@pucminas.br, Barreiro
Ana Almeida, (49) 74437-1728, ana.almeida@pucminas.br, Barreiro
Vinicius Pinto, (35) 78952-7962, vinicius.pinto@pucminas.br, Praca da Liberdade
Sofia Freitas, (33) 24793-9584, sofia.freitas@pucminas.br, Contagem
Beatriz Alves, (73) 72030-8907, beatriz.alves@pucminas.br, Sao Gabriel
Ricardo Gomes, (88) 18907-4830, ricardo.gomes@pucminas.br, Sao Gabriel
Leticia Almeida, (15) 67388-1595, leticia.almeida@pucminas.br, Betim
Lucas Freitas, (43) 81747-6262, lucas.freitas@pucminas.br, Praca da Liberdade
Lucas Pereira, (37) 96128-7606, lucas.pereira@pucminas.br, Contagem
Mariana Carvalho, (95) 26533-8116, mariana.carvalho@pucminas.br, Coracao Eucaristico
Julia Cardoso, (36) 35514-6486, julia.cardoso@pucminas.br, Contagem
Sofia Oliveira, (69) 60030-8847, sofia.oliveira@pucminas.br, Barreiro
Vinicius Rocha, (33) 20548-7371, vinicius.rocha@pucminas.br, Praca da Liberdade
Joana Pereira, (87) 48776-4980, joana.pereira@pucminas.br, Barreiro
Beatriz Reis, (14) 55546-1483, beatriz.reis@pucminas.br, Betim
Fernanda Reis, (61) 74145-2970, fernanda.reis@pucminas.br, Coracao Eucaristico
Joana Santos, (45) 52997-2305, joana.santos@pucminas.br, Praca da Liberdade
Daniel Teixeira, (17) 33903-5397, daniel.teixeira@pucminas.br, Sao Gabriel
Gabriel Rocha, (77) 40559-3596, gabriel.rocha@pucminas.br, Barreiro
Diego Nascimento, (82) 56667-5112, diego.nascimento@pucminas.br, Betim
Daniel Gomes, (96) 12690-1247, daniel.gomes@pucminas.br, Sao Gabriel
Ricardo Santos, (58) 68899-5342, ricardo.santos@pucminas.br, Sao Gabriel
Diego Mendes, (17) 54646-4492, diego.mendes@pucminas.br, Praca da Liberdade
Leonardo Barbosa, (41) 85285-4645, leonardo.barbosa@pucminas.br, Betim
Isabela Santos, (57) 24172-1134, isabela.santos@pucminas.br, Pocos de Caldas
Eloisa Souza, (58) 81850-1677, eloisa.souza@pucminas.br, Praca da Liberdade
Sofia Fernandes, (69) 45969-3317, sofia.fernandes@pucminas.br, Barreiro
Beatriz Cunha, (47) 40094-4392, beatriz.cunha@pucminas.br, Contagem
Camila Moreira, (23) 86561-3730, camila.moreira@pucminas.br, Contagem
Gustavo Teixeira, (80) 22626-5676, gustavo.teixeira@pucminas.br, Betim
Samuel Alves, (15) 64665-2836, samuel.alves@pucminas.br, Praca da Liberdade
Gabriel Rodrigues, (17) 53653-2583, gabriel.rodrigues@pucminas.br, Contagem
Camila Martins, (85) 51040-4218, camila.martins@pucminas.br, Contagem
Fernanda Pereira, (47) 95237-1759, fernanda.pereira@pucminas.br, Betim
Daniel Martins, (65) 42322-6634, daniel.martins@pucminas.br, Betim
Daniel Silva, (28) 49686-5767, daniel.silva@pucminas.br, Pocos de Caldas
Rafael Pereira, (40) 94185-4668, rafael.pereira@pucminas.br, Coracao Eucaristico
Fernanda Moreira, (81) 49708-5707, fernanda.moreira@pucminas.br, Betim
Thiago Santos, (96) 92622-7881, thiago.santos@pucminas.br, Praca da Liberdade
Isabela Rodrigues, (51) 37062-5647, isabela.rodrigues@pucminas.br, Pocos de Caldas
Mariana Alves, (90) 43985-4710, mariana.alves@pucminas.br, Contagem
Larissa Moreira, (44) 56135-7503, larissa.moreira@pucminas.br, Sao Gabriel
Ana Santos, (69) 78513-5581, ana.santos@pucminas.br, Barreiro
Isabela Lima, (34) 62634-7229, isabela.lima@pucminas.br, Praca da Liberdade
Joana Cardoso, (86) 74419-2216, joana.cardoso@pucminas.br, Barreiro
Mariana Nascimento, (58) 69054-7973, mariana.nascimento@pucminas.br, Praca da Liberdade
Sofia Mendes, (57) 70655-6538, sofia.mendes@pucminas.br, Pocos de Caldas
Luiza Almeida, (36) 34124-9615, luiza.almeida@pucminas.br, Pocos de Caldas
Isabela Ribeiro, (51) 95598-8959, isabela.ribeiro@pucminas.br, Contagem
Fernanda Costa, (21) 78842-7096, fernanda.costa@pucminas.br, Barreiro
Vinicius Freitas, (37) 37175-3259, vinicius.freitas@pucminas.br, Sao Gabriel
Larissa Dias, (72) 47468-5577, larissa.dias@pucminas.br, Pocos de Caldas
Diego Alves, (53) 10010-2445, diego.alves@pucminas.br, Sao Gabriel
Samuel Santos, (87) 41852-9570, samuel.santos@pucminas.br, Coracao Eucaristico
Camila Lima, (60) 48910-8839, camila.lima@pucminas.br, Betim
Leonardo Pereira, (84) 81784-3169, leonardo.pereira@pucminas.br, Praca da Liberdade
Joana Rodrigues, (19) 34081-1378, joana.rodrigues@pucminas.br, Contagem
Thiago Araujo, (91) 88118-1816, thiago.araujo@pucminas.br, Contagem
Ana Rodrigues, (43) 81143-4487, ana.rodrigues@pucminas.br, Coracao Eucaristico
Manuela Almeida, (17) 77571-5596, manuela.almeida@pucminas.br, Betim
Beatriz Martins, (14) 73582-6239, beatriz.martins@pucminas.br, Contagem
Julia Cunha, (39) 98227-7257, julia.cunha@pucminas.br, Pocos de Caldas
Ricardo Martins, (45) 15963-9566, ricardo.martins@pucminas.br, Betim
Isabela Pinto, (99) 14402-4429, isabela.pinto@pucminas.br, Betim
Pedro Reis, (66) 85587-8416, pedro.reis@pucminas.br, Coracao Eucaristico
Fernanda Fernandes, (33) 91811-2663, fernanda.fernandes@pucminas.br, Praca da Liberdade
Gustavo Lima, (42) 64019-1266, gustavo.lima@pucminas.br, Betim
Larissa Teixeira, (65) 66046-4637, larissa.teixeira@pucminas.br, Coracao Eucaristico
Clara Araujo, (33) 84328-3432, clara.araujo@pucminas.br, Coracao Eucaristico
Beatriz Rodrigues, (41) 65283-8531, beatriz.rodrigues@pucminas.br, Pocos de Caldas
Daniel Costa, (81) 48254-1221, daniel.costa@pucminas.br, Pocos de Caldas
Pedro Santos, (21) 16185-5985, pedro.santos@pucminas.br, Praca da Liberdade
Joana Nascimento, (45) 79570-6179, joana.nascimento@pucminas.br, Contagem
Leticia Costa, (49) 24712-8462, leticia.costa@pucminas.br, Barreiro
Eloisa Teixeira, (30) 58248-1451, eloisa.teixeira@pucminas.br, Praca da Liberdade
Matheus Carvalho, (54) 96502-7475, matheus.carvalho@pucminas.br, Pocos de Caldas
Carlos Costa, (55) 90991-9500, carlos.costa@pucminas.br, Sao Gabriel
Mariana Ribeiro, (65) 53965-5260, mariana.ribeiro@pucminas.br, Coracao Eucaristico
Luiza Correia, (80) 87718-1590, luiza.correia@pucminas.br, Pocos de Caldas
Felipe Lima, (73) 93684-5266, felipe.lima@pucminas.br, Praca da Liberdade
Daniel Pereira, (17) 91714-5552, daniel.pereira@pucminas.br, Coracao Eucaristico
Vinicius Correia, (10) 50196-5260, vinicius.correia@pucminas.br, Barreiro
Camila Rodrigues, (50) 57894-6621, camila.rodrigues@pucminas.br, Coracao Eucaristico
Manuela Correia, (82) 58890-7379, manuela.correia@pucminas.br, Sao Gabriel
Camila Oliveira, (73) 73979-6844, camila.oliveira@pucminas.br, Coracao Eucaristico
Rafael Teixeira, (42) 23777-9458, rafael.teixeira@pucminas.br, Sao Gabriel
Ricardo Pereira, (83) 31984-6100, ricardo.pereira@pucminas.br, Contagem
Diego Souza, (12) 86244-6870, diego.souza@pucminas.br, Coracao Eucaristico
Ana Farias, (43) 93634-6614, ana.farias@pucminas.br, Betim
Ana Pinto, (39) 40141-2458, ana.pinto@pucminas.br, Coracao Eucaristico
Luiza Costa, (50) 61571-1452, luiza.costa@pucminas.br, Coracao Eucaristico
Mariana Almeida, (33) 82571-1313, mariana.almeida@pucminas.br, Pocos de Caldas
Vinicius Moreira, (54) 45740-6350, vinicius.moreira@pucminas.br, Contagem
Isabela Souza, (38) 46275-8654, isabela.souza@pucminas.br, Barreiro
Leticia Teixeira, (99) 73673-6477, leticia.teixeira@pucminas.br, Contagem
Leonardo Souza, (83) 26566-9401, leonardo.souza@pucminas.br, Sao Gabriel
Vinicius Rodrigues, (23) 86870-1784, vinicius.rodrigues@pucminas.br, Betim
Gabriel Costa, (93) 86044-5215, gabriel.costa@pucminas.br, Praca da Liberdade
Leticia Rodrigues, (28) 35808-2169, leticia.rodrigues@pucminas.br, Coracao Eucaristico
Mariana Reis, (52) 63042-3325, mariana.reis@pucminas.br, Barreiro
Felipe Araujo, (23) 68745-6092, felipe.araujo@pucminas.br, Contagem
Carlos Martins, (88) 27749-1965, carlos.martins@pucminas.br, Contagem
Gustavo Farias, (69) 33207-4356, gustavo.farias@pucminas.br, Contagem
Mariana Moreira, (86) 58841-5803, mariana.moreira@pucminas.br, Barreiro
Felipe Mendes, (71) 74154-5177, felipe.mendes@pucminas.br, Barreiro
Fernanda Araujo, (10) 14757-7653, fernanda.araujo@pucminas.br, Betim
Vinicius Souza, (64) 22628-7890, vinicius.souza@pucminas.br, Barreiro
Gabriel Freitas, (38) 33531-8296, gabriel.freitas@pucminas.br, Betim
Matheus Correia, (51) 12430-8920, matheus.correia@pucminas.br, Contagem
Gabriel Barbosa, (59) 88885-7587, gabriel.barbosa@pucminas.br, Sao Gabriel
Rafael Reis, (62) 88562-1354, rafael.reis@pucminas.br, Sao Gabriel
Samuel Ribeiro, (52) 80977-3398, samuel.ribeiro@pucminas.br, Sao Gabriel
Carlos Pereira, (36) 14918-3670, carlos.pereira@pucminas.br, Betim
Leticia Fernandes, (18) 60063-8377, leticia.fernandes@pucminas.br, Barreiro
Ricardo Rocha, (91) 36874-4531, ricardo.rocha@pucminas.br, Sao Gabriel
Carlos Araujo, (40) 28748-1488, carlos.araujo@pucminas.br, Barreiro
Mariana Teixeira, (15) 38357-7961, mariana.teixeira@pucminas.br, Sao Gabriel
Beatriz Dias, (70) 78064-9263, beatriz.dias@pucminas.br, Pocos de Caldas
Manuela Cardoso, (21) 48146-3872, manuela.cardoso@pucminas.br, Pocos de Caldas
Felipe Correia, (16) 20200-8563, felipe.correia@pucminas.br, Coracao Eucaristico
Larissa Araujo, (79) 56545-1273, larissa.araujo@pucminas.br, Betim
Leonardo Santos, (72) 30048-1902, leonardo.santos@pucminas.br, Coracao Eucaristico
Pedro Alves, (96) 23720-3297, pedro.alves@pucminas.br, Coracao Eucaristico
Diego Rocha, (54) 59865-7170, diego.rocha@pucminas.br, Pocos de Caldas
Pedro Costa, (57) 98100-9568, pedro.costa@pucminas.br, Sao Gabriel
Gustavo Nascimento, (62) 74772-6514, gustavo.nascimento@pucminas.br, Betim
Julia Fernandes, (76) 35938-8355, julia.fernandes@pucminas.br, Pocos de Caldas
Isabela Alves, (15) 66345-4165, isabela.alves@pucminas.br, Pocos de Caldas
Camila Santos, (65) 30975-9348, camila.santos@pucminas.br, Praca da Liberdade
Lucas Barbosa, (55) 51620-6737, lucas.barbosa@pucminas.br, Coracao Eucaristico
Leticia Martins, (16) 61878-6007, leticia.martins@pucminas.br, Coracao Eucaristico
Sofia Santos, (83) 15506-7276, sofia.santos@pucminas.br, Sao Gabriel
Samuel Fernandes, (92) 16518-1612, samuel.fernandes@pucminas.br, Pocos de Caldas
Larissa Rocha, (61) 34843-9007, larissa.rocha@pucminas.br, Betim
Carlos Cunha, (72) 62162-1066, carlos.cunha@pucminas.br, Betim
Leonardo Correia, (98) 13623-2500, leonardo.correia@pucminas.br, Praca da Liberdade
Gustavo Mendes, (89) 55299-1271, gustavo.mendes@pucminas.br, Pocos de Caldas
Rafael Mendes, (98) 73481-1438, rafael.mendes@pucminas.br, Coracao Eucaristico
Samuel Rocha, (95) 71202-7056, samuel.rocha@pucminas.br, Praca da Liberdade
Lucas Reis, (43) 45712-1027, lucas.reis@pucminas.br, Pocos de Caldas
Matheus Oliveira, (22) 60484-5993, matheus.oliveira@pucminas.br, Barreiro
Clara Teixeira, (15) 23003-8847, clara.teixeira@pucminas.br, Praca da Liberdade
Beatriz Souza, (58) 44468-9398, beatriz.souza@pucminas.br, Contagem
Rafael Silva, (74) 72897-3918, rafael.silva@pucminas.br, Pocos de Caldas
Joana Lima, (80) 42743-2564, joana.lima@pucminas.br, Betim
Samuel Mendes, (13) 27878-8729, samuel.mendes@pucminas.br, Praca da Liberdade
Eloisa Freitas, (50) 15851-7495, eloisa.freitas@pucminas.br, Coracao Eucaristico
Luiza Carvalho, (62) 90827-8052, luiza.carvalho@pucminas.br, Betim
Julia Reis, (69) 89203-8656, julia.reis@pucminas.br, Betim
Camila Araujo, (52) 56057-4133, camila.araujo@pucminas.br, Coracao Eucaristico
Beatriz Santos, (17) 49993-3241, beatriz.santos@pucminas.br, Sao Gabriel
Rafael Barbosa, (15) 45132-7482, rafael.barbosa@pucminas.br, Barreiro
Beatriz Lima, (31) 52058-3498, beatriz.lima@pucminas.br, Contagem
Gabriel Alves, (72) 63692-6038, gabriel.alves@pucminas.br, Praca da Liberdade
Daniel Nascimento, (44) 33199-1786, daniel.nascimento@pucminas.br, Pocos de Caldas
Ana Rocha, (86) 29384-3997, ana.rocha@pucminas.br, Sao Gabriel
Sofia Alves, (12) 16918-4234, sofia.alves@pucminas.br, Barreiro
Fernanda Cardoso, (87) 72935-1112, fernanda.cardoso@pucminas.br, Praca da Liberdade
Vinicius Barbosa, (43) 27160-7834, vinicius.barbosa@pucminas.br, Contagem
Thiago Fernandes, (78) 82545-3977, thiago.fernandes@pucminas.br, Coracao Eucaristico
Lucas Mendes, (42) 23201-5988, lucas.mendes@pucminas.br, Sao Gabriel
Felipe Souza, (16) 23462-7595, felipe.souza@pucminas.br, Coracao Eucaristico
Lucas Farias, (12) 93899-1604, lucas.farias@pucminas.br, Betim
Mariana Pinto, (96) 95241-7200, mariana.pinto@pucminas.br, Pocos de Caldas
Isabela Reis, (28) 53623-4185, isabela.reis@pucminas.br, Barreiro
Lucas Martins, (61) 94860-4312, lucas.martins@pucminas.br, Barreiro
Eloisa Moreira, (79) 53161-1988, eloisa.moreira@pucminas.br, Sao Gabriel
Pedro Oliveira, (97) 36764-8143, pedro.oliveira@pucminas.br, Coracao Eucaristico
Ricardo Ribeiro, (99) 84655-1750, ricardo.ribeiro@pucminas.br, Praca da Liberdade
Diego Dias, (95) 92789-1325, diego.dias@pucminas.br, Barreiro
Daniel Oliveira, (51) 73547-3551, daniel.oliveira@pucminas.br, Sao Gabriel
Felipe Oliveira, (13) 29346-7258, felipe.oliveira@pucminas.br, Praca da Liberdade
Camila Silva, (83) 82846-3996, camila.silva@pucminas.br, Betim
Joana Costa, (30) 22863-4116, joana.costa@pucminas.br, Praca da Liberdade
Diego Barbosa, (63) 56608-9525, diego.barbosa@pucminas.br, Barreiro
Felipe Farias, (98) 53298-8970, felipe.farias@pucminas.br, Pocos de Caldas
Manuela Pereira, (68) 82079-9779, manuela.pereira@pucminas.br, Contagem
Leonardo Gomes, (25) 72500-2348, leonardo.gomes@pucminas.br, Betim
Isabela Teixeira, (77) 96205-3981, isabela.teixeira@pucminas.br, Coracao Eucaristico
Mariana Freitas, (62) 38336-9495, mariana.freitas@pucminas.br, Betim
Camila Alves, (33) 16842-3323, camila.alves@pucminas.br, Pocos de Caldas
Felipe Nascimento, (41) 90486-5320, felipe.nascimento@pucminas.br, Contagem
Fernanda Dias, (82) 43294-4252, fernanda.dias@pucminas.br, Praca da Liberdade
Leticia Correia, (77) 15825-4127, leticia.correia@pucminas.br, Barreiro
Fernanda Cunha, (10) 30908-9919, fernanda.cunha@pucminas.br, Contagem
Rafael Martins, (46) 98631-7349, rafael.martins@pucminas.br, Betim
Manuela Pinto, (31) 68589-9628, manuela.pinto@pucminas.br, Sao Gabriel
Pedro Mendes, (28) 64857-4386, pedro.mendes@pucminas.br, Contagem
Julia Freitas, (76) 46814-6948, julia.freitas@pucminas.br, Praca da Liberdade
Thiago Oliveira, (69) 36992-9028, thiago.oliveira@pucminas.br, Contagem
Sofia Teixeira, (34) 26635-9235, sofia.teixeira@pucminas.br, Sao Gabriel
Daniel Dias, (87) 47747-5091, daniel.dias@pucminas.br, Contagem
Gustavo Costa, (50) 79636-6596, gustavo.costa@pucminas.br, Praca da Liberdade
Samuel Oliveira, (81) 34596-8969, samuel.oliveira@pucminas.br, Coracao Eucaristico
Samuel Almeida, (31) 68835-2956, samuel.almeida@pucminas.br, Barreiro
Julia Mendes, (28) 70898-5205, julia.mendes@pucminas.br, Contagem
Mariana Souza, (38) 28371-9033, mariana.souza@pucminas.br, Sao Gabriel
Clara Martins, (94) 88341-2858, clara.martins@pucminas.br, Betim
Julia Alves, (24) 36149-5641, julia.alves@pucminas.br, Betim
Beatriz Ribeiro, (54) 12452-5020, beatriz.ribeiro@pucminas.br, Coracao Eucaristico
Felipe Martins, (87) 39084-5804, felipe.martins@pucminas.br, Betim
Ana Silva, (66) 20806-8321, ana.silva@pucminas.br, Barreiro
Rafael Cardoso, (65) 68264-5669, rafael.cardoso@pucminas.br, Barreiro
Leonardo Ribeiro, (13) 23769-7712, leonardo.ribeiro@pucminas.br, Coracao Eucaristico
Carlos Freitas, (75) 69668-2330, carlos.freitas@pucminas.br, Betim
Fernanda Teixeira, (41) 89210-4826, fernanda.teixeira@pucminas.br, Praca da Liberdade
Samuel Nascimento, (27) 28589-5647, samuel.nascimento@pucminas.br, Praca da Liberdade
Sofia Cunha, (29) 87448-6581, sofia.cunha@pucminas.br, Contagem
Rafael Cunha, (61) 77234-4973, rafael.cunha@pucminas.br, Contagem
Thiago Pinto, (78) 64868-9528, thiago.pinto@pucminas.br, Barreiro
Carlos Teixeira, (63) 82054-9446, carlos.teixeira@pucminas.br, Betim
Lucas Araujo, (62) 92163-8505, lucas.araujo@pucminas.br, Sao Gabriel
Eloisa Lima, (19) 46925-2017, eloisa.lima@pucminas.br, Contagem
Leonardo Martins, (25) 60694-1285, leonardo.martins@pucminas.br, Sao Gabriel
Leonardo Reis, (90) 39141-6116, leonardo.reis@pucminas.br, Betim
Luiza Araujo, (76) 56462-5682, luiza.araujo@pucminas.br, Coracao Eucaristico
Luiza Lima, (11) 77787-1381, luiza.lima@pucminas.br, Sao Gabriel
Luiza Santos, (64) 92583-1387, luiza.santos@pucminas.br, Coracao Eucaristico
Beatriz Fernandes, (69) 43880-4483, beatriz.fernandes@pucminas.br, Barreiro
Beatriz Costa, (95) 65044-1734, beatriz.costa@pucminas.br, Pocos de Caldas
